stability,total_positive,total_negative,mean_positive,mean_negative,degree,richness
0.56,8.989857999999998,6.6139600000000005,0.2365752105263157,0.19452823529411764,8.0,9
0.12,0.47269399999999995,0.0,0.23634699999999997,0.0,1.0,2
0.12,0.6409729999999999,0.220492,0.21365766666666666,0.07349733333333335,2.0,3
0.12,0.0,1.065341,0.0,0.5326705,1.0,2
0.32,3.090687,3.5703529999999994,0.14048577272727272,0.17851764999999994,6.0,7
0.24,1.990735,1.237858,0.1421953571428571,0.20630966666666664,4.0,5
0.12,0.903596,0.715616,0.3011986666666667,0.2385386666666667,2.0,3
0.36,3.1701880000000013,3.3510050000000002,0.13783426086956527,0.17636868421052632,6.0,7
0.08,0.0,0.0,0.0,0.0,0.0,1
0.32,3.196669,4.647753000000002,0.1997918125,0.1787597307692308,6.0,7
0.36,5.501314,6.682278999999999,0.18970048275862067,0.2474918148148149,7.0,8
0.24,1.276734,1.0588440000000001,0.18239057142857146,0.2117688,3.0,4
0.04,0.0,0.0,0.0,0.0,0.0,1
0.08,0.0,0.5324789999999999,0.0,0.2662395,1.0,2
0.44,6.2031220000000005,5.730641,0.20010070967741933,0.22922564,7.0,8
0.48,7.176186,2.8601420000000006,0.2050338857142857,0.13619723809523812,7.0,8
0.4,4.3368540000000015,6.6522989999999975,0.1971297272727273,0.19565585294117646,7.0,8
0.04,0.0,0.0,0.0,0.0,0.0,1
0.0,4.913418000000001,6.6041229999999995,0.1889776153846154,0.22013743333333333,7.0,8
0.56,5.337039000000001,2.198738,0.2052707307692308,0.13742112499999998,6.0,7
0.24,0.937368,0.101801,0.468684,0.101801,1.0,3
0.16,0.0,0.925768,0.0,0.231442,1.3333333333333333,3
0.04,0.0,0.0,0.0,0.0,0.0,1
0.44,4.6664590000000015,4.467789,0.16091237931034486,0.186157875,5.3,10
0.16,0.7878,0.0,0.19695,0.0,1.3333333333333333,3
0.24,0.924939,0.7358,0.308313,0.12263333333333333,1.8,5
0.4,2.27482,3.899076,0.17498615384615385,0.24369225000000005,3.625,8
0.32,1.825141,0.979967,0.2607344285714286,0.24499175,1.8333333333333333,6
0.44,2.6598939999999995,2.257038,0.2418085454545454,0.20518527272727274,3.1428571428571432,7
0.24,0.072174,0.471027,0.036087,0.15700899999999998,1.25,4
0.44,4.469795,2.524085,0.21284738095238093,0.21034041666666667,4.125,8
0.28,1.3761940000000001,1.537239,0.22936566666666666,0.17080433333333336,2.5,6
0.04,0.0,0.0,0.0,0.0,0.0,1
0.24,0.0,0.072267,0.0,0.072267,0.5,2
0.08,0.0,0.0,0.0,0.0,0.0,1
0.2,0.19356700000000002,0.34714,0.19356700000000002,0.34714,0.6666666666666666,3
0.2,0.7594069999999999,0.786241,0.15188139999999994,0.19656025,1.8,5
0.24,0.360574,0.5364450000000001,0.0721148,0.17881500000000006,1.6,5
0.44,3.5249489999999994,2.860697,0.2349966,0.15892761111111112,4.125,8
0.32,0.466253,0.4320729999999999,0.11656325,0.10801825,1.6,5
0.28,1.106956,0.181223,0.276739,0.181223,0.8333333333333334,6
0.08,0.38360700000000003,0.114165,0.38360700000000003,0.114165,1.0,2
0.36,1.694706,1.3140450000000001,0.16947060000000005,0.2190075,1.7777777777777777,9
0.36,0.7656620000000001,0.401049,0.12761033333333335,0.133683,1.2857142857142858,7
0.08,0.0,0.0,0.0,0.0,0.0,1
0.12,0.0,0.0,0.0,0.0,0.0,3
0.04,0.0,0.0,0.0,0.0,0.0,1
0.16,0.419979,0.110331,0.419979,0.110331,0.5,4
0.16,0.0,0.0,0.0,0.0,0.0,3
0.12,0.415361,0.389966,0.415361,0.389966,0.6666666666666666,3
0.28,1.099422,1.7783939999999998,0.18323699999999998,0.2540562857142857,1.8571428571428568,7
0.08,0.0,0.0,0.0,0.0,0.0,2
0.24,0.0,0.0,0.0,0.0,0.0,4
0.04,0.0,0.0,0.0,0.0,0.0,1
0.24,2.5479950000000002,0.5441699999999999,0.3639992857142857,0.090695,2.1666666666666665,6
0.12,0.0,0.137674,0.0,0.137674,0.5,2
0.16,1.026618,0.397806,0.2566545,0.397806,1.25,4
0.24,0.067052,0.384253,0.033526,0.1921265,0.8,5
0.12,0.0,0.0,0.0,0.0,0.0,3
0.04,0.0,0.0,0.0,0.0,0.0,1
